t_s,pre_ms,infer_ms,post_ms,loop_fps,detections
53.35,10.2,28.0,5.9,12.5,3
53.43,10.1,28.0,6.2,12.6,5
53.51,10.8,28.0,5.9,12.4,3
53.59,10.3,28.4,6.3,12.5,4
53.67,10.8,27.9,5.9,12.5,3
53.75,10.6,29.6,6.3,12.2,4
53.84,10.7,28.5,5.9,12.3,3
53.92,10.3,29.8,5.9,12.1,3
54.00,10.3,29.1,6.2,12.3,4
54.09,10.6,35.0,5.9,11.4,3
54.23,9.9,47.7,6.3,7.2,4
54.34,10.6,29.2,6.1,8.8,4
54.42,10.7,29.7,6.2,12.1,4
54.50,10.6,28.8,6.3,12.2,4
54.59,10.2,30.1,6.2,12.1,4
54.67,10.3,28.9,6.3,12.1,4
54.75,10.0,30.1,6.2,12.1,5
54.83,10.6,29.4,6.1,12.1,3
54.92,10.2,30.0,6.2,12.2,4
55.00,10.2,28.6,6.1,12.4,3
55.08,10.9,30.1,5.9,12.1,3
55.16,10.8,29.5,6.2,12.2,3
55.24,10.3,28.2,5.9,12.5,3
55.32,10.1,28.7,5.9,12.4,3
55.40,10.5,28.2,6.2,12.5,4
55.48,10.8,28.2,5.9,12.4,3
55.56,10.9,28.4,6.2,12.4,4
55.64,10.9,28.1,6.2,12.3,4
55.73,10.1,28.1,6.8,12.4,4
55.81,10.2,28.2,6.1,12.5,4
55.89,10.8,28.2,5.9,12.4,2
55.97,10.8,27.9,6.1,12.5,4
56.05,10.2,28.2,6.1,12.4,5
56.13,10.8,28.2,6.2,12.3,4
56.21,10.2,28.1,6.0,12.5,4
56.29,10.6,28.2,6.1,12.4,3
56.37,10.8,27.9,6.1,12.4,3
56.45,10.2,28.3,6.1,12.5,4
56.53,10.2,29.1,6.8,12.2,5
56.61,10.8,28.1,6.2,12.3,4
56.69,10.1,28.1,7.4,12.2,5
56.77,10.7,28.3,5.9,12.3,3
56.85,10.0,28.5,6.2,12.5,4
56.93,10.1,28.0,6.2,12.5,4
57.02,10.8,28.6,6.1,12.3,4
57.10,10.7,28.1,6.0,12.5,4
57.18,10.8,28.9,6.0,12.2,3
57.26,10.7,28.1,6.2,12.5,3
57.34,10.9,28.0,6.0,12.4,3
57.42,10.5,28.5,6.9,12.3,4
57.50,10.7,27.8,6.0,12.5,3
57.58,10.2,28.5,6.0,12.5,3
57.66,11.2,28.3,6.1,12.4,4
57.74,10.2,28.3,6.3,12.4,4
57.82,10.0,29.0,6.7,12.3,3
57.90,10.2,27.9,6.3,12.6,4
57.98,10.1,28.3,7.3,12.3,3
58.06,10.9,27.8,6.0,12.4,3
58.14,10.8,28.1,6.0,12.5,3
58.22,10.6,28.2,6.1,12.5,3
58.30,10.2,28.1,6.1,12.5,3
58.39,10.8,28.1,7.7,12.2,4
58.47,10.8,28.3,6.1,12.4,3
58.55,10.7,28.5,7.3,12.3,3
58.63,10.7,27.8,6.0,12.5,4
58.71,10.2,28.0,6.0,12.5,3
58.79,10.8,28.0,6.6,12.3,3
58.87,10.8,28.5,5.9,12.4,3
58.95,10.7,28.4,6.2,12.4,3
59.03,10.8,28.2,6.1,12.4,4
59.11,10.6,28.4,6.5,12.3,3
59.19,10.9,28.2,6.1,12.4,4
59.27,10.7,28.3,6.1,12.3,4
59.35,11.0,28.0,6.6,12.3,3
59.44,10.3,28.0,6.2,12.4,4
59.52,10.6,27.9,6.1,12.5,3
59.60,10.8,28.0,6.0,12.5,3
59.68,10.8,27.8,6.0,12.5,3
59.76,11.4,27.9,6.0,12.4,3
59.83,10.2,27.8,6.0,12.6,3
59.91,10.7,27.8,6.0,12.5,3
59.99,10.8,27.9,6.0,12.5,3
60.07,11.0,27.9,6.0,12.5,3
60.16,11.9,28.0,6.1,12.2,3
60.24,10.7,27.9,6.1,12.5,4
60.32,10.6,28.2,6.5,12.3,4
60.40,10.9,28.0,6.0,12.4,4
60.48,10.8,28.0,6.1,12.3,3
60.57,10.9,38.8,6.0,10.9,4
60.70,22.7,27.8,6.1,7.6,4
60.82,13.4,28.0,6.3,8.4,4
60.90,10.1,27.9,6.0,12.4,3
60.98,10.1,28.0,6.2,12.5,3
61.06,10.5,27.9,6.3,12.4,4
61.15,10.6,27.9,6.5,12.3,4
61.23,9.9,28.0,6.2,12.5,4
61.31,10.9,27.9,6.2,12.3,4
61.39,10.0,28.0,6.0,12.5,3
61.47,10.8,27.9,7.0,11.8,4
61.56,12.9,28.3,6.1,11.9,3
61.64,10.2,27.9,6.6,12.1,3
61.72,14.1,27.9,7.6,11.6,4
61.81,10.7,27.9,6.3,12.2,3
61.89,10.8,27.9,6.1,12.5,3
61.97,10.2,28.2,6.0,12.5,3
62.05,10.1,28.2,6.1,12.6,3
62.12,10.1,27.8,6.2,12.6,4
62.21,10.7,28.2,6.1,12.4,3
62.29,11.3,27.9,6.0,12.4,3
62.37,10.2,27.9,6.1,12.5,4
62.45,10.9,28.2,6.3,12.4,4
62.53,10.9,28.2,6.0,12.4,4
62.61,10.5,28.2,6.3,12.4,3
62.69,10.8,28.3,6.1,12.4,3
62.77,10.9,28.2,6.8,12.3,4
62.85,10.3,28.0,7.4,12.3,3
62.93,10.8,28.1,6.0,12.4,3
63.01,10.5,28.9,6.2,12.3,3
63.09,10.7,30.1,6.1,12.2,4
63.18,10.6,28.6,6.3,12.1,3
63.26,10.0,29.0,6.1,12.4,3
63.34,12.2,28.0,6.4,12.2,5
63.42,10.8,28.3,6.0,12.3,3
63.50,10.8,27.9,6.0,12.5,3
63.58,10.7,28.4,6.4,12.4,4
63.66,10.7,27.8,6.6,12.4,3
63.74,10.9,27.8,5.9,12.4,3
63.82,10.8,28.0,6.9,12.3,3
63.91,11.0,28.0,6.9,12.4,3
63.99,10.7,27.9,6.1,12.5,3
64.07,10.8,27.8,6.0,12.5,4
64.15,10.9,28.0,6.1,12.4,4
64.23,10.8,28.1,6.0,12.4,3
64.31,10.7,28.2,6.1,12.5,4
64.39,10.8,27.8,6.1,12.4,3
64.47,10.8,28.9,6.0,12.3,3
64.55,10.8,28.0,6.1,12.5,4
64.63,10.8,28.5,6.1,12.4,4
64.71,11.1,27.9,6.1,12.4,4
64.79,10.8,27.9,6.1,12.4,4
64.87,10.7,28.3,6.0,12.4,4
64.95,10.7,28.2,6.0,12.4,3
65.03,10.9,28.5,6.4,12.3,4
65.11,10.9,28.2,6.0,12.3,3
65.19,10.8,28.2,6.0,12.5,3
65.27,11.2,27.9,6.0,12.5,3
65.35,10.2,28.0,6.0,12.6,3
65.44,10.6,28.5,6.8,12.4,3
65.52,10.9,28.1,6.0,12.5,3
65.60,10.9,28.2,6.1,12.4,4
65.68,10.8,28.1,6.9,12.3,4
65.76,10.7,28.1,6.7,12.3,4
65.84,10.5,27.9,6.1,12.2,3
65.92,10.8,27.9,7.1,12.3,3
66.00,10.6,28.2,6.3,12.5,4
66.08,10.7,27.9,6.1,12.5,3
66.16,10.8,28.5,6.0,12.4,4
66.24,10.7,27.9,6.0,12.5,3
66.32,10.8,28.4,6.7,12.3,3
66.41,10.6,28.9,6.2,12.3,4
66.49,10.8,27.9,6.0,12.4,4
66.57,10.1,27.9,6.1,12.6,3
66.65,10.8,28.0,6.0,12.5,3
66.73,10.8,27.9,6.0,12.5,3
66.80,10.1,27.9,6.1,12.6,3
66.88,10.8,27.9,6.1,12.5,3
66.96,10.7,28.0,6.1,12.5,3
67.05,10.5,28.0,6.1,12.4,3
67.12,10.1,27.9,6.0,12.6,3
67.21,10.5,28.0,6.0,12.4,3
67.29,10.5,28.0,6.0,12.5,3
67.41,23.0,27.9,5.9,7.8,3
67.54,22.5,27.9,6.0,7.8,3
67.62,10.1,28.0,6.1,12.5,3
67.70,10.6,27.9,6.1,12.5,3
67.78,10.0,27.9,6.0,12.5,3
67.86,10.0,28.3,6.1,12.5,3
67.94,10.6,28.0,6.0,12.4,3
68.02,10.1,27.9,6.0,12.4,3
68.10,10.4,27.9,6.3,12.5,4
68.18,10.7,27.9,6.1,12.4,4
68.26,10.7,27.9,6.2,12.4,3
68.34,10.1,28.0,6.1,12.5,3
68.42,10.1,28.3,6.3,12.4,3
68.51,10.8,28.3,6.2,12.4,4
68.59,10.7,28.3,6.0,12.4,3
68.67,11.0,28.3,6.4,12.3,4
68.75,10.7,28.2,6.0,12.4,3
68.83,10.9,28.2,6.2,12.4,3
68.91,10.7,28.1,6.1,12.4,3
68.99,10.5,28.5,6.0,12.5,3
69.07,10.4,28.1,6.0,12.5,3
69.15,10.2,28.3,6.1,12.5,3
69.23,10.6,28.5,6.4,12.4,3
69.31,10.7,28.4,6.0,12.4,3
69.39,10.5,28.3,6.6,12.2,3
69.47,10.7,28.4,6.0,12.4,3
69.55,10.5,28.4,6.2,12.4,3
69.64,10.7,28.0,6.1,12.4,3
69.72,10.2,28.4,6.0,12.5,3
69.80,10.8,28.3,6.0,12.5,3
69.88,10.7,28.1,6.0,12.4,3
69.96,10.2,28.1,6.0,12.6,3
70.04,10.7,27.9,5.9,12.5,3
70.12,10.7,28.3,6.0,12.3,3
70.20,11.0,27.9,6.2,12.4,4
70.28,10.8,28.3,5.9,12.3,3
70.36,10.9,28.0,6.0,12.4,3
70.44,10.9,28.1,6.0,12.5,3
70.52,10.9,28.4,6.2,12.4,4
70.60,10.9,27.9,6.1,12.4,3
70.68,10.8,28.3,6.2,12.4,4
70.76,10.7,28.3,5.9,12.3,3
70.84,10.2,28.4,6.5,12.4,3
70.92,10.0,28.7,6.4,12.4,3
71.00,10.2,28.0,6.2,12.6,4
71.08,10.8,28.4,6.0,12.4,3
71.16,11.8,28.2,6.1,12.3,3
71.25,10.8,28.3,6.1,12.4,3
71.32,10.2,28.0,6.2,12.6,3
71.40,10.8,28.2,6.1,12.5,3
71.49,10.7,27.9,6.2,12.4,3
71.57,11.0,27.9,6.1,12.5,3
71.65,10.8,27.9,7.3,12.3,3
71.73,10.2,27.8,6.1,12.6,3
71.81,10.6,27.9,6.0,12.4,3
71.89,11.0,28.1,6.7,12.3,3
71.97,10.2,27.9,6.0,12.6,3
72.05,10.4,27.8,6.0,12.6,4
72.13,11.0,27.9,6.3,12.3,4
72.21,10.7,27.8,6.0,12.3,3
72.29,11.1,28.5,6.0,12.3,3
72.37,10.2,27.9,6.0,12.6,3
72.45,10.7,28.5,6.1,12.4,3
72.53,10.2,28.1,6.0,12.6,3
72.61,10.8,28.2,6.0,12.5,3
72.69,11.2,28.1,6.1,12.4,3
72.77,10.9,28.3,6.0,12.4,3
72.85,10.1,28.3,7.0,12.4,4
72.93,10.6,28.3,6.2,12.2,3
73.02,11.1,28.3,7.3,12.1,3
73.10,10.0,28.2,6.2,12.5,4
73.18,10.7,28.5,6.0,12.3,4
73.26,11.2,27.9,6.2,12.4,4
73.34,10.2,30.3,6.1,12.2,4
73.42,10.0,29.1,6.6,12.3,4
73.51,10.7,29.6,6.4,12.1,4
73.59,10.7,29.6,6.4,12.0,4
73.67,10.8,28.2,6.2,12.2,4
73.75,10.6,28.7,6.4,12.3,4
73.83,10.1,30.0,6.0,12.2,3
73.92,10.7,29.6,6.2,12.1,3
74.00,12.4,30.0,6.1,11.9,3
74.14,24.5,36.2,6.1,7.0,3
74.28,24.0,33.2,6.0,7.4,3
74.36,10.7,29.3,6.1,12.2,3
74.44,10.7,29.9,6.1,12.0,3
74.52,10.0,28.9,6.2,12.4,3
74.61,10.6,29.8,6.2,12.2,3
74.69,11.7,29.0,6.1,12.1,3
74.77,10.1,30.3,6.0,12.2,3
74.85,10.6,28.9,6.3,12.3,4
74.94,10.6,30.0,6.0,12.1,3
75.02,10.6,28.6,6.2,12.2,4
75.10,10.0,29.8,6.0,12.1,3
75.18,11.1,28.2,6.1,12.2,3
75.26,10.8,28.4,6.0,12.4,3
75.34,10.7,28.5,7.5,12.2,3
75.42,10.8,28.4,6.0,12.4,3
75.50,10.3,28.7,6.1,12.4,3
75.58,10.8,28.2,6.1,12.5,3
75.67,10.8,28.7,6.0,12.3,3
75.75,10.5,28.3,6.1,12.5,3
75.83,10.2,28.3,6.0,12.5,3
75.91,10.8,28.5,6.0,12.3,3
75.99,10.9,28.0,6.0,12.5,3
76.07,10.7,28.4,6.0,12.4,3
76.15,10.9,28.2,6.1,12.5,4
76.23,10.8,28.5,6.1,12.3,4
76.31,10.1,28.3,6.4,12.5,4
76.39,10.8,28.3,6.2,12.4,4
76.47,10.8,27.9,6.1,12.4,4
76.55,10.9,27.9,5.9,12.4,3
76.63,10.2,27.8,6.0,12.6,3
76.71,10.8,27.9,6.1,12.5,3
76.79,10.8,27.9,6.0,12.5,4
76.87,10.9,27.8,6.0,12.5,3
76.95,10.0,27.8,6.1,12.6,3
77.03,10.1,28.0,6.0,12.5,3
77.11,10.6,28.1,6.2,12.5,4
77.19,10.8,27.9,6.0,12.4,3
77.27,10.1,28.1,6.0,12.5,4
77.35,11.1,27.7,5.9,12.4,3
77.43,10.9,29.0,5.8,12.3,2
77.51,10.9,28.1,5.9,12.5,2
77.59,10.8,28.3,5.9,12.5,2
77.67,10.7,28.2,5.9,12.5,2
77.75,10.8,28.4,5.9,12.5,2
77.83,10.8,28.3,5.9,12.5,2
77.91,11.0,27.9,5.9,12.5,3
77.99,10.8,28.2,5.9,12.3,3
78.07,10.2,28.7,6.1,12.4,4
78.16,10.8,28.3,6.0,12.3,4
78.24,10.3,28.6,5.9,12.4,2
78.32,10.8,28.1,6.0,12.5,3
78.40,10.8,28.6,5.9,12.4,3
78.48,10.7,28.1,6.1,12.5,3
78.56,10.7,28.5,6.1,12.3,4
78.64,10.1,28.1,6.0,12.4,3
78.72,10.2,28.6,5.9,12.5,3
78.80,10.8,28.3,5.9,12.4,2
78.88,11.2,28.0,5.9,12.4,2
78.96,10.7,28.3,5.9,12.5,3
79.04,10.7,28.2,6.2,12.4,4
79.12,10.9,28.3,6.1,12.3,4
79.20,10.2,28.5,6.1,12.4,3
79.28,10.2,28.2,5.9,12.5,2
79.36,10.2,28.4,5.9,12.5,2
79.44,10.7,28.0,5.9,12.6,3
79.52,10.2,28.5,5.9,12.4,3
79.60,10.9,28.0,6.0,12.5,3
79.68,10.2,28.5,5.9,12.5,3
79.76,10.7,28.7,6.5,12.2,4
79.85,10.8,28.4,6.1,12.3,3
79.93,10.7,28.4,6.4,12.3,3
80.01,11.3,28.3,6.8,12.2,3
80.09,10.1,28.2,6.4,12.4,3
80.17,11.1,27.9,6.3,12.3,4
80.25,10.1,29.7,6.1,12.2,3
80.34,10.8,28.8,6.1,12.3,3
80.42,10.2,30.1,6.4,12.1,4
80.50,10.6,29.4,6.4,12.1,3
80.62,20.3,35.9,6.1,8.2,4
80.76,22.3,36.2,6.0,7.3,3
80.86,10.7,29.9,6.0,10.0,3
80.94,10.7,28.9,6.2,12.2,3
81.02,10.6,30.0,5.9,12.1,3
81.11,10.6,29.2,6.2,12.2,3
81.19,10.0,29.9,5.9,12.2,3
81.27,10.7,28.9,6.3,12.2,4
81.35,10.1,30.1,6.1,12.2,4
81.43,10.8,29.6,6.5,12.1,5
81.52,10.2,30.0,6.3,12.0,5
81.60,10.7,29.2,6.2,12.1,4
81.68,10.6,30.0,6.4,12.0,6
81.76,10.5,28.3,6.2,12.4,5
81.85,10.9,28.3,6.2,12.3,5
81.93,10.7,28.4,6.2,12.3,5
82.01,10.9,28.3,6.2,12.3,5
82.09,10.8,28.4,6.0,12.3,3
82.17,10.9,28.0,6.2,12.4,3
82.25,10.7,28.3,6.1,12.4,3
82.33,11.1,28.6,6.7,12.1,4
82.41,10.1,28.4,6.3,12.4,4
82.49,10.7,28.2,6.4,12.4,4
82.57,10.8,28.1,6.2,12.4,5
82.65,10.3,28.6,6.0,12.4,4
82.73,10.8,28.0,6.2,12.5,5
82.82,10.3,28.6,6.1,12.3,4
82.90,10.8,28.2,6.1,12.3,4
82.98,10.7,28.4,6.2,12.4,5
83.06,10.1,28.3,6.3,12.4,4
83.14,10.9,28.3,6.2,12.4,4
83.22,10.9,28.7,6.1,12.3,3
83.30,10.2,27.9,6.0,12.5,3
83.38,10.2,28.1,6.0,12.6,4
83.46,10.2,27.9,6.0,12.6,3
83.54,10.3,27.8,5.9,12.6,3
83.62,10.8,27.9,6.1,12.4,4
83.70,11.3,27.8,5.9,12.4,2
83.78,10.8,28.1,6.0,12.5,3
83.86,10.2,28.2,6.1,12.5,3
83.94,10.7,28.0,6.0,12.5,3
84.02,10.9,27.8,5.9,12.6,3
84.10,11.1,27.9,5.9,12.5,3
84.18,10.8,27.8,5.9,12.5,3
84.26,10.2,27.8,6.0,12.7,3
84.34,10.8,27.8,5.9,12.4,3
84.42,10.7,28.6,6.1,12.4,4
84.50,10.8,28.2,6.7,12.4,3
84.58,10.8,28.4,5.8,12.5,3
84.66,11.1,28.1,6.1,12.4,3
84.74,10.9,28.4,6.0,12.5,4
84.82,10.8,28.8,6.0,12.4,4
84.90,10.9,28.1,6.1,12.4,4
84.98,10.8,28.4,5.9,12.5,3
85.06,10.2,28.1,6.1,12.6,4
85.14,10.8,28.4,6.1,12.3,4
85.22,10.2,28.2,7.1,12.4,4
85.30,10.8,28.4,6.0,12.4,4
85.38,10.9,28.5,5.9,12.4,3
85.46,10.3,28.3,5.9,12.6,3
85.54,10.8,28.3,6.0,12.4,4
85.62,10.7,27.9,5.9,12.5,3
85.70,10.2,28.9,6.0,12.5,4
85.78,10.7,28.4,6.6,12.2,3
85.87,10.6,28.4,5.9,12.3,3
85.95,10.8,28.6,6.0,12.4,4
86.03,11.0,28.0,6.0,12.5,4
86.11,10.8,28.6,5.9,12.4,3
86.19,10.6,28.3,6.1,12.5,4
86.27,10.8,28.5,5.9,12.4,3
86.35,10.7,29.0,6.7,12.2,3
86.43,10.7,28.3,5.9,12.5,3
86.51,10.8,28.8,6.1,12.4,5
86.59,10.8,27.8,6.1,12.4,4
86.67,10.2,28.4,6.2,12.4,5
86.76,10.6,30.0,6.1,12.1,4
86.84,10.8,29.9,6.3,12.1,5
86.92,10.7,28.8,6.2,12.2,4
87.00,10.9,29.8,6.1,12.1,4
87.13,18.9,47.2,6.4,7.6,5
87.27,23.9,36.2,5.9,7.2,3
87.36,10.7,28.6,6.1,11.4,4
87.44,10.7,28.0,6.3,12.3,5
87.52,10.9,28.0,6.3,12.3,5
87.60,10.8,27.9,5.9,12.4,3
87.68,10.3,28.1,6.4,12.5,4
87.76,10.1,27.9,6.0,12.5,4
87.84,10.8,27.8,5.9,12.5,3
87.92,11.8,28.0,6.0,12.4,3
88.00,10.1,27.9,5.9,12.6,3
88.08,10.3,27.9,6.0,12.6,3
88.16,10.8,27.8,6.1,12.4,4
88.25,10.8,28.1,8.4,12.1,5
88.33,10.8,27.8,6.2,12.4,5
88.41,10.9,28.3,5.9,12.4,3
88.49,10.2,27.9,5.9,12.7,3
88.57,10.9,28.4,5.9,12.4,3
88.65,10.7,28.4,5.9,12.5,2
88.73,10.9,28.5,5.9,12.4,3
88.81,10.8,28.4,6.0,12.5,3
88.89,10.9,28.3,6.1,12.3,4
88.97,10.2,28.4,5.9,12.5,3
89.05,10.1,28.6,6.0,12.6,3
89.13,10.2,28.4,5.9,12.6,2
89.21,10.9,28.3,6.0,12.5,3
89.29,10.3,28.4,5.9,12.5,3
89.37,10.9,28.4,5.9,12.4,3
89.45,10.3,28.1,6.1,12.6,4
89.53,10.8,28.4,6.1,12.3,4
89.61,10.8,28.4,6.2,12.3,4
89.69,10.2,28.3,5.9,12.6,3
89.77,10.2,28.4,5.9,12.6,3
89.85,10.7,27.9,6.1,12.5,3
89.93,10.7,28.4,6.0,12.5,3
90.01,10.8,28.5,6.2,12.5,4
